date,predicted_price
2011-12-01,3.104062673329736
2011-12-02,1.7556299043201307
2011-12-03,4.166039534307629
2011-12-04,2.1225665371021023
2011-12-05,2.943031553680271
2011-12-06,3.8710983113845714
2011-12-07,5.126676199309486
2011-12-08,2.3911301639403746
2011-12-09,1.7923696195648517
2011-12-10,2.4901262022249284
2011-12-11,-3.5028779410990865
2011-12-12,-2.952896743332758
2011-12-13,-0.5353215146757293
2011-12-14,0.3695114786146405
2011-12-15,3.118590617818313
2011-12-16,3.041117417434066
2011-12-17,0.18210962427087907
2011-12-18,3.6768197404550165
2011-12-19,1.42220898891685
2011-12-20,3.852549143681813
2011-12-21,-1.0620818324683796
2011-12-22,2.072752947294589
2011-12-23,3.2961120344891697
2011-12-24,1.0808164611887605
2011-12-25,3.527342438575829
2011-12-26,6.119383926972205
2011-12-27,2.9684051988851934
2011-12-28,1.1486352921582466
2011-12-29,0.8635599185324736
2011-12-30,2.810316495694792
2011-12-31,1.041160328025967
2012-12-01,41.880964141525055
2012-12-02,22.642430843196394
2012-12-03,11.64028846955091
2012-12-04,2.7575625404354014
2012-12-05,24.052903372706282
2012-12-06,44.29291166213454
2012-12-07,2.926548462987739
2012-12-08,-17.119769702586837
2012-12-09,25.328784595348566
2012-12-10,38.98887509126973
2012-12-11,59.28391750254025
2012-12-12,17.64938140176116
2012-12-13,37.38860677231423
2012-12-14,-4.268712711796184
2012-12-15,34.31023210471744
2012-12-16,22.477428274186764
2012-12-17,32.43248376228371
2012-12-18,29.727981253143184
2012-12-19,18.72031322325688
2012-12-20,34.10672966276161
2012-12-21,43.26026345140508
2012-12-22,12.587805848843345
2012-12-23,-14.122501680103596
2012-12-24,0.5299573258980672
2012-12-25,16.073571249506585
2012-12-26,33.66901643009612
2012-12-27,48.37398138939659
2012-12-28,23.79172610828948
2012-12-29,15.153636789920597
2012-12-30,34.4550822367687
2013-12-01,1091.988231568663
2013-12-02,1023.6139062050108
2013-12-03,1014.9035911537757
2013-12-04,1035.7202158660061
2013-12-05,1166.6375117515568
2013-12-06,1021.7471792377686
2013-12-07,859.33224627912
2013-12-08,733.5286582756305
2013-12-09,771.6646394665415
2013-12-10,851.8273614476186
2013-12-11,979.1232226040372
2013-12-12,921.0190318751272
2013-12-13,863.3476127008172
2013-12-14,911.4100487838512
2013-12-15,845.0084183221096
2013-12-16,863.6566760993317
2013-12-17,758.298646575759
2013-12-18,689.2311132503371
2013-12-19,620.6905089072873
2013-12-20,621.1831725292415
2013-12-21,574.8567143956236
2013-12-22,608.0556965279578
2013-12-23,644.6877279393414
2013-12-24,668.7651178705343
2013-12-25,670.3754899888985
2013-12-26,660.3638429317037
2013-12-27,761.973618800664
2013-12-28,767.6503869132562
2013-12-29,740.7043435805706
